suite,task_id,task_description,noise_type,severity,rollout_index,episode_seed,success,episode_length
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,0,0,True,83
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,1,1,True,79
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,2,2,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,3,3,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,4,4,True,85
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,5,5,True,69
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,6,6,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,7,7,True,117
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,8,8,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,9,9,True,80
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,10,10,True,71
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,11,11,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,12,12,True,89
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,13,13,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,14,14,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,15,15,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,16,16,True,78
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,17,17,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,18,18,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,19,19,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,20,20,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,21,21,True,69
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,22,22,True,67
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,23,23,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,24,24,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,25,25,True,78
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,26,26,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,27,27,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,28,28,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,29,29,True,79
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,30,30,True,82
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,31,31,True,69
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,32,32,True,73
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,33,33,True,202
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,34,34,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,35,35,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,36,36,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,37,37,True,80
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,38,38,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,39,39,True,78
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,40,40,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,41,41,True,75
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,42,42,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,43,43,True,74
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,44,44,True,102
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,45,45,True,66
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,46,46,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,47,47,True,74
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,48,48,True,173
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,clean,0,49,49,True,68
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,0,0,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,1,1,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,2,2,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,3,3,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,4,4,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,5,5,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,6,6,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,7,7,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,8,8,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,9,9,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,10,10,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,11,11,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,12,12,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,13,13,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,14,14,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,15,15,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,16,16,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,motion_blur,5,17,17,False,280
