suite,task_id,task_description,episode_seed_base,variant_type,variant_index,prompt,rollout_index,episode_seed,success,episode_length
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,0,200000,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,1,200001,True,133
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,2,200002,True,120
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,3,200003,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,4,200004,True,185
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,5,200005,True,133
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,6,200006,True,118
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,7,200007,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,8,200008,True,145
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,9,200009,True,138
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,10,200010,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,11,200011,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,12,200012,True,119
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,13,200013,True,139
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,14,200014,True,124
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,15,200015,True,131
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,16,200016,True,133
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,17,200017,True,128
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,18,200018,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,19,200019,True,139
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,20,200020,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,21,200021,True,138
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,22,200022,True,133
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,23,200023,True,209
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,24,200024,True,252
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,25,200025,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,26,200026,True,221
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,27,200027,True,124
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,28,200028,True,172
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,29,200029,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,30,200030,True,245
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,31,200031,True,132
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,32,200032,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,33,200033,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,34,200034,True,157
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,35,200035,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,36,200036,True,136
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,37,200037,True,159
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,38,200038,True,125
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,39,200039,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,40,200040,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,41,200041,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,42,200042,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,43,200043,True,140
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,44,200044,True,120
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,45,200045,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,46,200046,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,47,200047,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,48,200048,False,280
goal,0,open the middle drawer of the cabinet,200000,original,0,open the middle drawer of the cabinet,49,200049,True,144
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,0,200000,False,280
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,1,200001,True,126
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,2,200002,True,124
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,3,200003,True,135
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,4,200004,True,154
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,5,200005,True,156
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,6,200006,True,120
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,7,200007,True,124
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,8,200008,True,138
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,9,200009,True,131
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,10,200010,True,180
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,11,200011,False,280
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,12,200012,True,119
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,13,200013,False,280
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,14,200014,True,133
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,15,200015,True,116
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,16,200016,False,280
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,17,200017,True,115
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,18,200018,False,280
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,19,200019,True,142
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,20,200020,False,280
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,21,200021,True,131
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,22,200022,True,140
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,23,200023,True,132
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,24,200024,True,144
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,25,200025,True,128
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,26,200026,True,125
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,27,200027,True,126
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,28,200028,True,120
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,29,200029,True,135
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,30,200030,True,135
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,31,200031,True,127
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,32,200032,True,118
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,33,200033,True,136
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,34,200034,True,126
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,35,200035,True,120
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,36,200036,True,117
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,37,200037,False,280
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,38,200038,True,132
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,39,200039,True,121
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,40,200040,True,150
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,41,200041,True,144
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,42,200042,True,148
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,43,200043,False,280
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,44,200044,True,121
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,45,200045,True,143
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,46,200046,True,149
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,47,200047,True,122
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,48,200048,True,136
goal,0,open the middle drawer of the cabinet,200000,politeness,0,please open the middle drawer of the cabinet,49,200049,True,182
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,0,200000,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,1,200001,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,2,200002,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,3,200003,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,4,200004,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,5,200005,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,6,200006,True,160
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,7,200007,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,8,200008,True,158
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,9,200009,True,149
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,10,200010,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,11,200011,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,12,200012,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,13,200013,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,14,200014,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,15,200015,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,16,200016,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,17,200017,True,141
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,18,200018,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,19,200019,True,201
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,20,200020,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,21,200021,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,22,200022,True,151
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,23,200023,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,24,200024,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,25,200025,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,26,200026,True,152
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,27,200027,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,28,200028,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,29,200029,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,30,200030,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,31,200031,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,32,200032,True,275
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,33,200033,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,34,200034,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,35,200035,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,36,200036,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,37,200037,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,38,200038,True,246
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,39,200039,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,40,200040,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,41,200041,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,42,200042,True,180
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,43,200043,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,44,200044,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,45,200045,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,46,200046,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,47,200047,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,48,200048,False,280
goal,0,open the middle drawer of the cabinet,200000,verb_paraphrase,0,pull out the middle drawer of the cabinet,49,200049,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",0,200000,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",1,200001,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",2,200002,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",3,200003,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",4,200004,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",5,200005,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",6,200006,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",7,200007,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",8,200008,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",9,200009,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",10,200010,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",11,200011,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",12,200012,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",13,200013,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",14,200014,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",15,200015,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",16,200016,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",17,200017,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",18,200018,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",19,200019,False,280
goal,0,open the middle drawer of the cabinet,200000,sentence_structure,0,"the middle drawer of the cabinet, open it",20,200020,False,280
