suite,task_id,task_description,episode_seed_base,variant_type,variant_index,prompt,rollout_index,episode_seed,success,episode_length
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,0,100000,True,217
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,1,100001,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,2,100002,True,161
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,3,100003,True,164
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,4,100004,True,150
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,5,100005,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,6,100006,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,7,100007,True,228
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,8,100008,True,231
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,9,100009,True,177
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,10,100010,True,257
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,11,100011,True,142
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,12,100012,True,227
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,13,100013,True,174
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,14,100014,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,15,100015,True,184
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,16,100016,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,17,100017,True,152
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,18,100018,True,140
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,19,100019,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,20,100020,True,178
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,21,100021,True,146
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,22,100022,True,143
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,23,100023,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,24,100024,True,163
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,25,100025,True,189
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,26,100026,True,166
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,27,100027,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,28,100028,True,229
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,29,100029,True,153
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,30,100030,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,31,100031,True,210
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,32,100032,True,152
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,33,100033,True,177
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,34,100034,True,145
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,35,100035,True,190
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,36,100036,True,183
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,37,100037,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,38,100038,True,197
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,39,100039,True,145
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,40,100040,False,280
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,41,100041,True,152
object,0,pick up the alphabet soup and place it in the basket,100000,original,0,pick up the alphabet soup and place it in the basket,42,100042,True,123
