suite,task_id,task_description,episode_seed_base,variant_type,variant_index,prompt,rollout_index,episode_seed,success,episode_length
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,0,102000,True,123
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,1,102001,True,109
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,2,102002,True,123
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,3,102003,True,117
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,4,102004,True,111
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,5,102005,True,129
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,6,102006,True,143
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,7,102007,True,119
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,8,102008,True,121
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,9,102009,True,112
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,10,102010,True,120
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,11,102011,True,112
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,12,102012,True,117
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,13,102013,True,144
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,14,102014,True,115
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,15,102015,True,122
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,16,102016,True,130
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,17,102017,True,118
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,18,102018,False,280
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,19,102019,True,114
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,20,102020,True,114
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,21,102021,True,126
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,22,102022,True,127
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,23,102023,True,116
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,24,102024,True,131
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,25,102025,True,127
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,26,102026,True,131
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,27,102027,True,125
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,28,102028,True,124
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,29,102029,True,146
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,30,102030,True,150
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,31,102031,True,121
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,32,102032,True,126
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,33,102033,True,124
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,34,102034,True,119
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,35,102035,True,127
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,36,102036,True,121
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,37,102037,True,124
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,38,102038,True,122
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,39,102039,True,114
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,40,102040,True,130
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,41,102041,True,114
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,42,102042,True,130
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,43,102043,True,121
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,44,102044,True,143
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,45,102045,True,137
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,46,102046,True,122
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,47,102047,True,144
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,48,102048,True,134
object,2,pick up the salad dressing and place it in the basket,102000,original,0,pick up the salad dressing and place it in the basket,49,102049,True,130
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,0,102000,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,1,102001,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,2,102002,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,3,102003,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,4,102004,True,119
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,5,102005,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,6,102006,True,124
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,7,102007,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,8,102008,True,125
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,9,102009,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,10,102010,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,11,102011,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,12,102012,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,13,102013,False,280
object,2,pick up the salad dressing and place it in the basket,102000,politeness,0,please pick up the salad dressing and place it in the basket,14,102014,False,280
