suite,task_id,task_description,variant_type,prompt
goal,2,put the wine bottle on top of the cabinet,original,put the wine bottle on top of the cabinet
goal,2,put the wine bottle on top of the cabinet,politeness,please put the wine bottle on top of the cabinet
goal,2,put the wine bottle on top of the cabinet,verb_paraphrase,place the wine bottle on top of the cabinet
goal,2,put the wine bottle on top of the cabinet,sentence_structure,"the wine bottle, put it on top of the cabinet"
goal,2,put the wine bottle on top of the cabinet,verbosity,in this task you have to put the wine bottle on top of the cabinet for me
goal,2,put the wine bottle on top of the cabinet,carefully,put the wine bottle on top of the cabinet carefully
goal,2,put the wine bottle on top of the cabinet,quickly,put the wine bottle on top of the cabinet quickly
goal,2,put the wine bottle on top of the cabinet,do_not_move,do not move the wine bottle on top of the cabinet
goal,3,open the top drawer and put the bowl inside,original,open the top drawer and put the bowl inside
goal,3,open the top drawer and put the bowl inside,politeness,please open the top drawer and put the bowl inside
goal,3,open the top drawer and put the bowl inside,verb_paraphrase,pull out the top drawer and put the bowl inside
goal,3,open the top drawer and put the bowl inside,sentence_structure,"the top drawer, open it and put the bowl inside"
goal,3,open the top drawer and put the bowl inside,verbosity,in this task you have to open the top drawer and put the bowl inside for me
goal,3,open the top drawer and put the bowl inside,carefully,open the top drawer and put the bowl inside carefully
goal,3,open the top drawer and put the bowl inside,quickly,open the top drawer and put the bowl inside quickly
goal,3,open the top drawer and put the bowl inside,do_not_move,do not open the top drawer and put the bowl inside
